Input_Size,Time_Taken
10331,399662000
10341,428700000
10351,413012000
10361,413439000
10371,414711000
10381,414907000
10391,414880000
10401,413978000
10411,399249000
10421,414220000
10431,421486000
10441,409203000
10451,413597000
10461,414530000
10471,420100000
10481,420506000
10491,415460000
10501,416612000
10511,431732000
10521,446878000
10531,443517000
10541,415772000
10551,430866000
10561,415124000
10571,423950000
10581,468299000
10591,407884000
10601,430296000
10611,436615000
10621,424323000
10631,443378000
10641,436197000
10651,424350000
10661,429328000
10671,429913000
10681,432759000
10691,426895000
10701,437699000
10711,424336000
10721,447558000
10731,420901000
10741,477426000
10751,494702000
10761,498802000
10771,486797000
10781,496469000
10791,491678000
10801,494474000
10811,456826000
10821,495946000
10831,478288000
10841,444871000
10851,461057000
10861,518641000
10871,470566000
10881,502470000
10891,446363000
10901,446039000
10911,447216000
10921,444588000
10931,446821000
10941,445980000
10951,463967000
10961,444571000
10971,449530000
10981,459536000
10991,444127000
11001,462194000
11011,466115000
11021,462925000
11031,470705000
11041,449194000
11051,475648000
11061,468761000
11071,470963000
11081,462961000
11091,460759000
11101,477957000
11111,462941000
11121,477806000
11131,464969000
11141,476415000
11151,473253000
11161,470209000
11171,469487000
11181,495464000
11191,478017000
11201,493986000
11211,481600000
11221,484066000
11231,470526000
11241,491966000
11251,464467000
11261,494860000
11271,482923000
11281,465824000
11291,478466000
11301,495269000
11311,476740000
11321,478670000
11331,493098000
11341,477039000
11351,478149000
11361,498572000
11371,487615000
11381,495687000
11391,522938000
11401,496825000
11411,485980000
11421,485377000
11431,512557000
11441,491708000
11451,501665000
11461,499068000
11471,498573000
11481,507095000
11491,510214000
11501,496221000
11511,494274000
11521,509222000
11531,492241000
11541,523722000
11551,513003000
11561,512234000
11571,507973000
11581,500664000
11591,514813000
11601,511583000
11611,513862000
11621,507806000
11631,511803000
11641,510707000
11651,528156000
11661,521629000
11671,527640000
11681,535143000
11691,498227000
11701,556740000
11711,525358000
11721,519075000
11731,548090000
11741,543503000
11751,528103000
11761,527544000
11771,505669000
11781,526580000
11791,527235000
11801,538119000
11811,511131000
11821,539926000
11831,529182000
11841,536705000
11851,513566000
11861,541116000
11871,529910000
11881,537247000
11891,525890000
11901,526129000
11911,550213000
11921,519549000
11931,545144000
11941,523859000
11951,540910000
11961,542284000
11971,544674000
11981,543501000
11991,542112000
12001,544412000
12011,538470000
12021,542370000
12031,546787000
12041,552118000
12051,557342000
12061,558081000
12071,558605000
12081,559565000
12091,540034000
12101,557434000
12111,558764000
12121,556813000
12131,560001000
12141,557262000
12151,585773000
12161,576055000
12171,558147000
12181,555532000
12191,574620000
12201,603630000
12211,572936000
12221,579434000
12231,564211000
12241,557212000
12251,575032000
12261,567797000
12271,564725000
12281,575570000
12291,583513000
12301,573271000
12311,573495000
12321,572668000
12331,559683000
12341,572954000
12351,574043000
12361,577970000
12371,569033000
12381,573393000
12391,590730000
12401,573570000
12411,590444000
12421,572761000
12431,590228000
12441,573076000
12451,574666000
12461,589815000
12471,574787000
12481,590414000
12491,588524000
12501,587822000
12511,587795000
12521,589071000
12531,592099000
12541,596716000
12551,609624000
12561,622941000
12571,622423000
12581,603379000
12591,589750000
12601,606486000
12611,591201000
12621,589070000
12631,609211000
12641,612106000
12651,597733000
12661,605695000
12671,609687000
12681,604001000
12691,620923000
12701,604866000
12711,621964000
12721,619026000
12731,623959000
12741,630199000
12751,625824000
12761,617595000
12771,620571000
12781,621539000
12791,621358000
12801,632356000
12811,612958000
12821,638227000
12831,606924000
12841,606997000
12851,626482000
12861,618758000
12871,644382000
12881,643461000
12891,636695000
12901,608680000
