Input_Size,Time_Taken
7731,0.002083
7741,0.002898
7751,0.002375
7761,0.002129
7771,0.002099
7781,0.001993
7791,0.003122
7801,0.002999
7811,0.003001
7821,0.002504
7831,0.001582
7841,0.002063
7851,0.001976
7861,0.002602
7871,0.002094
7881,0.003094
7891,0.002906
7901,0.002504
7911,0.002285
7921,0.002913
7931,0.001999
7941,0.003037
7951,0.003029
7961,0.001997
7971,0.00298
7981,0.002841
7991,0.002536
8001,0.003029
8011,0.002518
8021,0.002388
8031,0.001911
8041,0.002521
8051,0.002552
8061,0.002618
8071,0.002015
8081,0.002028
8091,0.003208
8101,0.003024
8111,0.001979
8121,0.001977
8131,0.003305
8141,0.002006
8151,0.002001
8161,0.00251
8171,0.002111
8181,0.004001
8191,0.001999
8201,0.003791
8211,0.003093
8221,0.002014
8231,0.003402
8241,0.003094
8251,0.002912
8261,0.002505
8271,0.003159
8281,0.002944
8291,0.002998
8301,0.003012
8311,0.003108
8321,0.001968
8331,0.003532
8341,0.002547
8351,0.002986
8361,0.001998
8371,0.002391
8381,0.003119
8391,0.002507
8401,0.003512
8411,0.00309
8421,0.001956
8431,0.003121
8441,0.002838
8451,0.002541
8461,0.003024
8471,0.003483
8481,0.002021
8491,0.002999
8501,0.003016
8511,0.002927
8521,0.002556
8531,0.003074
8541,0.002991
8551,0.002086
8561,0.002934
8571,0.002986
8581,0.003179
8591,0.002007
8601,0.003013
8611,0.002522
8621,0.002128
8631,0.002017
8641,0.003035
8651,0.00286
8661,0.003019
8671,0.002999
8681,0.002671
8691,0.002031
8701,0.002978
8711,0.003043
8721,0.002108
8731,0.002618
8741,0.002504
8751,0.003006
8761,0.003006
8771,0.001999
8781,0.003
8791,0.002504
8801,0.002256
8811,0.001976
8821,0.003517
8831,0.002692
8841,0.003005
8851,0.002091
8861,0.003237
8871,0.002092
8881,0.002916
8891,0.003079
8901,0.002564
8911,0.002472
8921,0.002996
8931,0.002004
8941,0.002625
8951,0.003039
8961,0.001999
8971,0.003196
8981,0.002595
8991,0.002065
9001,0.002925
9011,0.002656
9021,0.003259
9031,0.002046
9041,0.002429
9051,0.002128
9061,0.003262
9071,0.00296
9081,0.002684
9091,0.003097
9101,0.001523
9111,0.003629
9121,0.003575
9131,0.003041
9141,0.002004
9151,0.0022
9161,0.002775
9171,0.002928
9181,0.003616
9191,0.002079
9201,0.003096
9211,0.002987
9221,0.00252
9231,0.004214
9241,0.00309
9251,0.002585
9261,0.002732
9271,0.002684
9281,0.003007
9291,0.003522
9301,0.002083
9311,0.00291
9321,0.003155
9331,0.00365
9341,0.003571
9351,0.003507
9361,0.00345
9371,0.003382
9381,0.004047
